stem-- --------cpu--------
n   cs  us  sy  id  wa  st
2  288   0   1  99   0   0
23 86822  11   3  86   0   0
23 74349  11   2  87   0   0
1 66842  13   2  85   0   0
0 61609   9   2  88   0   0
2 60304  12   2  86   0   0
4 59012  10   2  88   0   0
9 58805  11   2  87   0   0
7 58592  11   2  87   0   0
9 57963  11   2  87   0   0
5 55604   8   2  90   0   0
0 57440   9   2  89   0   0
2 55794  11   2  88   0   0
7 56524  11   2  88   0   0
6 55970   9   2  89   0   0
7 56911  10   2  88   0   0
2 58142  11   2  87   0   0
7 57211  13   2  86   0   0
1 56843  12   1  86   0   0
8 57828  11   2  87   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
2 57978  12   2  87   0   0
8 57731  11   2  87   0   0
5 57034  10   2  89   0   0
3 57132   9   2  89   0   0
9 57515  10   2  89   0   0
9 56971  10   2  88   0   0
8 57922  11   2  87   0   0
6 57614  10   2  88   0   0
0 57539   9   2  89   0   0
2 58000  10   2  88   0   0
6 58774  10   2  89   0   0
2 56815   9   2  89   0   0
8 57653  10   2  89   0   0
1 58089  10   2  88   0   0
0 56861  11   2  88   0   0
8 58243  11   2  87   0   0
2 56925  10   2  88   0   0
1 57029  10   2  88   0   0
3 57130  12   2  86   0   0
5 57407  12   2  87   0   0
4 59267   9   2  89   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
1 57640  11   1  87   0   0
6 57666  12   2  86   0   0
3 57493  12   2  87   0   0
0 57687  11   2  87   0   0
0 57577  10   2  88   0   0
7 57689  11   2  87   0   0
2 57452  12   2  86   0   0
4 57835  10   1  89   0   0
1 57576  11   2  88   0   0
4 57600  10   2  88   0   0
6 58212  12   2  87   0   0
9 56869  11   2  88   0   0
0 57400  12   2  86   0   0
5 58436  11   2  87   0   0
8 56903  11   2  87   0   0
1 57629  12   2  86   0   0
4 57395  10   2  88   0   0
7 57595   9   1  90   0   0
0 56555  11   2  87   0   0
7 58106  10   2  88   0   0
9 56959  10   2  88   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 56735  11   2  87   0   0
0 56521  12   2  87   0   0
2 57099  10   1  88   0   0
2 57297  12   2  87   0   0
5 57312  11   2  87   0   0
5 57600  11   2  87   0   0
1 58423  10   2  88   0   0
1 57327  11   2  87   0   0
3 57433  10   2  88   0   0
2 58169  12   2  86   0   0
1 57674  11   2  88   0   0
1 57438  12   2  86   0   0
1 58005  11   2  86   0   0
6 57187  13   2  85   0   0
3 58089   9   2  89   0   0
7 57019  11   2  87   0   0
4 57655  11   2  87   0   0
4 57994  12   2  86   0   0
9 57824  11   2  87   0   0
5 57706  10   1  88   0   0
8 57468  12   2  86   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 57840   9   2  88   0   0
3 57065  11   2  87   0   0
