stem-- --------cpu--------
n   cs  us  sy  id  wa  st
52 84111  10   3  87   0   0
86 75169  14   3  83   0   0
3 66478  11   2  87   0   0
8 61312  11   1  87   0   0
5 60451  12   2  86   0   0
3 59701  11   2  87   0   0
8 59960  12   2  86   0   0
5 58327   9   2  89   0   0
9 58013  11   2  87   0   0
6 57748  11   2  87   0   0
7 57184   9   2  89   0   0
8 55695   9   2  89   0   0
4 56673  11   2  88   0   0
8 56931  10   2  88   0   0
6 57793  11   2  87   0   0
2 57532  10   2  88   0   0
8 57898  10   2  88   0   0
2 57382  10   2  88   0   0
2 56068  10   1  89   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
8 59006  10   2  88   0   0
0 57850  10   2  88   0   0
0 57221  11   2  88   0   0
2 59491  10   2  88   0   0
3 57910  10   2  88   0   0
7 57646  10   2  88   0   0
2 57370  11   1  88   0   0
0 57723  10   1  88   0   0
4 57088  11   2  87   0   0
9 57335  11   2  87   0   0
8 57882  12   2  86   0   0
7 57925  10   2  89   0   0
9 57837  11   2  88   0   0
7 56908  10   1  88   0   0
2 57475  10   2  88   0   0
5 57574   9   2  89   0   0
0 58016  10   2  88   0   0
5 57423  11   2  87   0   0
9 58573  10   2  88   0   0
5 57473  10   2  88   0   0
1 58257  11   2  87   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
7 57485  10   2  89   0   0
6 57240  10   2  88   0   0
6 58196   9   2  89   0   0
2 57380   9   1  90   0   0
7 57427  11   1  88   0   0
4 57334  11   2  87   0   0
3 58052  10   2  88   0   0
1 57420  10   2  88   0   0
8 58233  11   2  87   0   0
8 58406  10   2  88   0   0
3 57649  10   2  89   0   0
0 58145  10   2  88   0   0
3 57707   9   2  88   0   0
0 57863  11   2  87   0   0
4 57326  11   2  87   0   0
4 57721   8   1  90   0   0
6 57850  10   2  88   0   0
5 57987  10   2  89   0   0
0 57792  11   2  87   0   0
7 58039  12   2  87   0   0
8 57244  10   2  88   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
5 57515  12   2  86   0   0
1 58253  10   2  88   0   0
0 57857  11   2  87   0   0
9 57468   9   2  89   0   0
7 57733  12   2  87   0   0
2 57659  11   2  87   0   0
2 57710  11   1  88   0   0
0 57742  11   1  88   0   0
9 57314  11   2  88   0   0
1 58313   9   1  89   0   0
7 58154  10   2  88   0   0
1 57337  10   2  89   0   0
4 56980  10   2  88   0   0
0 57870  11   2  87   0   0
3 57956   9   2  89   0   0
6 57516  10   2  88   0   0
4 57603  11   2  87   0   0
7 59146   9   2  89   0   0
1 57647  11   2  88   0   0
1 57202  11   2  88   0   0
0 57788  10   2  88   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
9 58729  10   2  88   0   0
7 58036  10   2  88   0   0
0 57883  11   2  87   0   0
1 57445  10   2  88   0   0
4 57598   9   1  89   0   0
5 57310  10   2  88   0   0
9 57967  10   2  88   0   0
3 57465  11   1  88   0   0
2 58314  11   2  87   0   0
2 56929  10   2  89   0   0
9 58343  10   2  88   0   0
6 57540  10   1  88   0   0
8 57911   9   2  89   0   0
9 57838  12   2  87   0   0
2 57854  10   2  89   0   0
3 58103  10   2  88   0   0
2 57394  12   2  87   0   0
9 57452   9   2  89   0   0
4 57366  10   1  89   0   0
8 58020  10   2  88   0   0
0 57664  12   1  87   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
1 57917  10   2  89   0   0
8 57402  10   2  88   0   0
7 57777  11   2  87   0   0
3 58106  10   2  89   0   0
7 57871  11   1  88   0   0
9 57217   9   2  90   0   0
6 57842   9   2  90   0   0
4 57777  11   2  88   0   0
4 58703  11   2  87   0   0
4 57476  10   2  88   0   0
5 57533   8   2  90   0   0
4 57741  11   2  87   0   0
3 57642   9   2  89   0   0
4 57993  11   2  87   0   0
9 57381   9   2  89   0   0
9 57465  10   2  88   0   0
8 58296  10   2  88   0   0
1 57791  11   1  88   0   0
3 57016  10   2  89   0   0
8 57406  12   2  87   0   0
0 58056  11   2  87   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
7 57491  10   2  88   0   0
3 57850  10   1  89   0   0
5 57984  10   1  88   0   0
8 57480  10   2  88   0   0
0 57582  10   2  88   0   0
8 57222  10   1  88   0   0
4 57410  11   2  87   0   0
6 57524  10   1  88   0   0
6 58457  12   2  86   0   0
8 57862   9   2  89   0   0
3 57805  12   2  86   0   0
2 58165  12   2  86   0   0
6 57142  10   2  88   0   0
4 57675  12   1  87   0   0
1 57321  10   2  89   0   0
7 57314  10   2  89   0   0
4 57400  11   2  88   0   0
3 57374  10   2  88   0   0
3 59079  10   2  88   0   0
3 57641  10   2  89   0   0
6 58404  10   2  88   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
3 57371  11   1  88   0   0
5 58638  11   2  87   0   0
4 58126   9   2  89   0   0
6 57356   9   2  89   0   0
9 57405  10   2  88   0   0
6 58691   9   1  89   0   0
5 57486  11   2  88   0   0
7 58164  11   2  87   0   0
0 57582  11   1  88   0   0
6 58363  10   2  88   0   0
6 57824   9   1  90   0   0
0 58381   9   2  89   0   0
3 58821  10   2  88   0   0
2 58149   7   1  91   0   0
2 57944   8   2  90   0   0
5 58074   7   1  92   0   0
3 59088   6   1  92   0   0
7 59745   6   1  93   0   0
6 58637   5   1  93   0   0
2 59099   3   1  96   0   0
4 58760   4   1  95   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
3 58479   4   1  95   0   0
3 58978   4   1  95   0   0
0 58715   3   1  96   0   0
4 57998   3   1  96   0   0
6 58137   3   1  95   0   0
0 57289   2   1  97   0   0
9 58194   2   1  97   0   0
6 58414   2   1  96   0   0
7 58588   3   1  96   0   0
1 58736   2   2  96   0   0
1 58317   2   1  97   0   0
6 59348   2   2  96   0   0
6 60252   2   2  96   0   0
6 59877   2   1  96   0   0
0 58421   2   1  96   0   0
0 59624   2   1  97   0   0
4 59671   3   2  96   0   0
2 59595   2   1  96   0   0
2 58853   2   2  96   0   0
8 59731   3   1  96   0   0
9 59688   2   2  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
0 59609   3   2  95   0   0
2 59766   3   1  96   0   0
7 58982   3   1  95   0   0
1 59639   3   1  96   0   0
1 58477   3   1  96   0   0
8 59617   3   1  95   0   0
4 58617   2   2  96   0   0
3 58203   2   1  97   0   0
5 58430   3   1  96   0   0
5 58062   2   1  97   0   0
1 58972   2   1  97   0   0
6 59211   3   1  96   0   0
9 58206   2   1  97   0   0
9 58152   2   1  97   0   0
