stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6  315   0   1  99   0   0
92 87262  10   3  87   0   0
10 77942  12   3  84   0   0
4 68328  11   3  86   0   0
3 62137  10   2  87   0   0
4 62522  13   2  84   0   0
9 61342  11   2  86   0   0
7 59923  10   2  88   0   0
0 58547  11   2  87   0   0
2 58514  10   2  88   0   0
3 56479  12   2  86   0   0
1 57290  11   2  87   0   0
1 56868  10   2  88   0   0
6 56698  10   2  88   0   0
6 56947   9   2  88   0   0
8 57788  12   2  86   0   0
9 57618  11   1  87   0   0
1 57635   9   2  89   0   0
5 58021   9   2  89   0   0
7 57730  10   2  88   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 57961  10   2  88   0   0
2 58815  12   2  87   0   0
4 57085  10   2  88   0   0
7 58732  10   2  89   0   0
4 58157  13   2  85   0   0
0 59526  10   2  88   0   0
6 58841  11   2  87   0   0
6 57262  11   2  87   0   0
0 59056  11   2  87   0   0
6 58697   9   2  90   0   0
3 58139   9   2  89   0   0
0 59758   9   2  89   0   0
2 58745  10   2  88   0   0
0 60589  11   2  87   0   0
7 58732  11   2  88   0   0
2 57330  10   1  88   0   0
5 59225  11   1  88   0   0
6 59249  12   2  86   0   0
0 57353  11   2  88   0   0
4 59018  11   2  88   0   0
4 59473   9   2  90   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
7 59082  10   2  88   0   0
0 58930   9   2  89   0   0
6 58729  11   2  88   0   0
5 58415  11   2  87   0   0
7 59855  11   2  87   0   0
7 58401  12   2  86   0   0
2 60302  10   2  88   0   0
7 59623  12   2  86   0   0
2 57847  10   2  88   0   0
0 59422  10   2  89   0   0
7 59642   9   2  88   0   0
6 58082  10   2  88   0   0
6 60129  12   2  87   0   0
3 59773  12   2  87   0   0
0 57077  10   2  88   0   0
1 59701  10   2  88   0   0
2 59945  10   2  88   0   0
8 57905  10   2  88   0   0
5 59906  10   1  89   0   0
2 59053   9   2  89   0   0
6 57869  10   2  88   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
7 59825  11   2  87   0   0
6 57921  12   2  87   0   0
2 59597   9   2  89   0   0
5 59282   9   2  89   0   0
7 57728  12   2  86   0   0
7 59087  10   2  88   0   0
9 59324  11   1  87   0   0
3 58241  12   2  86   0   0
3 58916  10   2  88   0   0
4 59603  10   2  88   0   0
1 57314  12   2  87   0   0
3 60494  11   2  88   0   0
1 59482  10   2  88   0   0
5 56629  10   1  88   0   0
3 58920  11   2  87   0   0
0 58612  10   2  89   0   0
5 58040  10   2  89   0   0
6 59255  10   2  88   0   0
1 57724  11   2  87   0   0
0 59620  10   2  88   0   0
2 58886   9   2  89   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
3 57792  10   2  88   0   0
5 59436  11   2  87   0   0
6 59642  13   2  85   0   0
1 57166  10   1  88   0   0
5 59194  11   2  87   0   0
4 58677  10   2  88   0   0
9 58589  10   2  88   0   0
8 58983  11   2  87   0   0
7 59099  10   2  88   0   0
1 57555  12   2  86   0   0
8 59641  11   2  87   0   0
6 57509  12   2  87   0   0
0 59597  10   2  88   0   0
2 59288  10   2  88   0   0
9 57947  10   2  88   0   0
1 58923  11   2  88   0   0
7 59194  10   2  89   0   0
1 57597   9   2  89   0   0
3 60141  10   2  88   0   0
4 58977  12   2  87   0   0
3 57723  11   2  88   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 58380  11   2  88   0   0
5 58790  10   2  89   0   0
7 57394  11   2  88   0   0
0 58996  10   2  89   0   0
5 57522  10   2  88   0   0
0 58743  10   2  88   0   0
9 58835   9   2  89   0   0
1 57854  10   2  88   0   0
0 59271  11   2  87   0   0
9 59257  11   2  88   0   0
7 57487  11   2  87   0   0
1 59175  11   2  87   0   0
6 59075  11   2  87   0   0
0 57645  10   2  88   0   0
3 58727  10   2  88   0   0
3 58539  11   1  88   0   0
5 58346  10   2  88   0   0
4 59095   9   2  89   0   0
2 59511  11   2  87   0   0
5 57208   9   2  89   0   0
7 58159   9   2  89   0   0
stem-- --------cpu--------
