stem-- --------cpu--------
n   cs  us  sy  id  wa  st
8  339   0   1  99   0   0
14 80847   6   3  90   0   0
0 77246   9   3  88   0   0
7 66951   8   3  89   0   0
6 61757   9   2  89   0   0
3 60989   7   2  91   0   0
2 58345   9   1  89   0   0
6 59000   8   2  90   0   0
7 58592   9   2  89   0   0
7 58514   9   2  90   0   0
0 56582   9   2  89   0   0
2 57032   9   2  90   0   0
1 56146   7   2  91   0   0
4 57207   8   1  90   0   0
0 57474   8   2  90   0   0
6 56095   7   2  92   0   0
9 57421   7   1  91   0   0
3 57035   8   1  90   0   0
4 57485   9   2  90   0   0
0 57815   7   2  91   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 56862   7   1  91   0   0
4 58367  10   2  89   0   0
1 56708   7   2  91   0   0
0 58057   9   2  89   0   0
0 56745   7   2  91   0   0
0 58047   8   2  90   0   0
7 58060   7   2  91   0   0
8 57667   9   2  90   0   0
2 58681   8   2  90   0   0
0 58895   9   2  89   0   0
3 57195   7   2  92   0   0
0 58720   7   2  91   0   0
5 57052   9   2  89   0   0
0 59637   9   2  89   0   0
9 58740   8   2  90   0   0
7 57279   9   1  90   0   0
4 58818   6   2  92   0   0
2 58619   9   2  90   0   0
7 56812   9   2  90   0   0
7 59990   9   1  89   0   0
4 58771   9   2  89   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
1 57542   9   2  89   0   0
6 59032   8   2  90   0   0
6 59028   9   2  89   0   0
5 57656   9   1  90   0   0
6 59073   9   1  90   0   0
2 58068  10   2  88   0   0
5 57511   8   2  91   0   0
3 59127   8   2  91   0   0
3 56758   9   1  89   0   0
1 58755   7   2  91   0   0
4 58831   9   1  89   0   0
3 57411   7   2  91   0   0
2 59497   7   2  91   0   0
7 58745   9   2  89   0   0
4 57958  10   1  89   0   0
6 59053   9   2  89   0   0
4 59334   8   2  90   0   0
4 56863   8   2  90   0   0
3 58538   7   2  92   0   0
3 58115   8   1  91   0   0
9 58509   9   2  89   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
8 58673  10   1  89   0   0
5 57513   7   2  92   0   0
0 58675   8   2  91   0   0
8 58938   9   2  89   0   0
4 57036   8   2  91   0   0
5 58690   8   2  90   0   0
0 58353   9   2  89   0   0
6 57620  11   2  88   0   0
1 59027   8   2  90   0   0
0 59487   9   2  89   0   0
8 57274   7   2  91   0   0
4 58372   8   1  91   0   0
9 58847   9   2  90   0   0
1 56976   7   2  91   0   0
7 59542   9   2  89   0   0
1 58470   7   2  92   0   0
6 57255   9   2  90   0   0
6 59430   9   1  89   0   0
5 57199   9   1  90   0   0
6 59759   8   1  90   0   0
5 58489   8   2  90   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
8 56655   8   1  90   0   0
2 59035   9   2  89   0   0
2 58738   8   2  90   0   0
1 57317   8   1  90   0   0
8 58954   9   2  89   0   0
3 59353   9   2  89   0   0
2 57505   7   2  91   0   0
0 58597   8   2  91   0   0
4 58160   9   2  90   0   0
5 57892   7   2  92   0   0
5 59072   8   2  90   0   0
2 57671   8   2  91   0   0
9 58804  10   2  89   0   0
9 59119   8   2  91   0   0
6 57965   8   1  91   0   0
1 58556   8   1  91   0   0
2 58671   9   1  90   0   0
0 56856   8   2  90   0   0
2 58725   9   2  89   0   0
1 58782   8   2  90   0   0
4 57296   9   2  89   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
1 58373   7   2  91   0   0
3 58720   9   2  90   0   0
1 56553   8   1  90   0   0
8 58117  10   1  89   0   0
9 59340   9   2  89   0   0
6 57613   9   2  90   0   0
5 58236   8   2  90   0   0
7 56717   8   2  90   0   0
3 58746   8   2  90   0   0
1 59706   9   2  89   0   0
3 57317   9   2  89   0   0
1 59239   9   2  89   0   0
5 59771   8   2  90   0   0
1 57995   9   2  89   0   0
6 58947   6   2  92   0   0
8 58079   7   2  92   0   0
3 57864   9   1  89   0   0
9 58992   8   2  90   0   0
2 58850   9   1  89   0   0
6 57830   8   2  90   0   0
5 58067   7   2  91   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
3 58874   9   2  89   0   0
2 57021   9   1  90   0   0
5 57977   8   1  91   0   0
7 57036  10   1  88   0   0
3 59240   8   1  91   0   0
6 58565   9   1  90   0   0
1 58439   9   2  90   0   0
0 58271   8   2  90   0   0
8 59186   9   2  90   0   0
6 56602   8   2  90   0   0
6 59492   7   2  91   0   0
1 58538   6   2  92   0   0
0 57952   9   2  89   0   0
2 58391   8   2  91   0   0
6 59572   8   1  91   0   0
4 57451   7   2  91   0   0
0 59295   8   1  90   0   0
8 57479   8   1  91   0   0
9 58616   7   2  91   0   0
0 58805   9   2  89   0   0
4 57786   8   2  91   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
2 58050   9   1  89   0   0
3 58622   8   2  90   0   0
4 57267  10   1  89   0   0
7 58814   8   1  91   0   0
0 58908   9   2  89   0   0
5 57829  10   1  89   0   0
9 58933   9   1  89   0   0
7 59855   9   2  90   0   0
3 56553   8   2  91   0   0
7 58700   9   2  89   0   0
1 58700   9   1  90   0   0
7 58208   8   2  90   0   0
1 58375   9   2  89   0   0
4 57630   7   1  91   0   0
5 59389   9   2  90   0   0
9 59075   8   2  90   0   0
3 56992   9   2  89   0   0
7 59184   9   2  89   0   0
5 59058   9   2  89   0   0
3 58149   8   2  91   0   0
7 58882   9   1  90   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
1 58101   9   2  90   0   0
8 56849   8   2  90   0   0
4 58674   9   2  89   0   0
2 58075   8   2  91   0   0
9 57734   7   2  91   0   0
6 58171   8   2  90   0   0
2 57780   9   2  89   0   0
9 58005   8   2  90   0   0
9 58813   9   2  90   0   0
3 57720   7   2  91   0   0
2 60393   7   2  91   0   0
0 58635   8   2  91   0   0
6 57649   7   2  91   0   0
2 59260   8   2  89   0   0
7 58725   8   2  90   0   0
4 58540   8   2  90   0   0
8 58613  10   2  89   0   0
1 59916   8   2  90   0   0
6 57691   7   1  91   0   0
6 58634   8   2  90   0   0
2 58679   7   2  91   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
7 57698   8   2  90   0   0
1 58635   8   2  90   0   0
2 56833   8   1  91   0   0
2 59805   7   2  92   0   0
8 59108   6   2  92   0   0
0 57870   8   2  91   0   0
8 58579   6   1  93   0   0
4 58584   6   2  93   0   0
3 57735   5   2  93   0   0
6 59570   5   1  94   0   0
4 58698   5   1  94   0   0
1 57333   4   1  95   0   0
7 58658   4   1  95   0   0
0 58988   3   1  95   0   0
9 57091   4   1  95   0   0
9 58366   2   1  96   0   0
0 58062   3   1  96   0   0
4 58305   3   1  96   0   0
5 57942   3   1  96   0   0
1 57319   3   1  96   0   0
9 59142   3   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
8 58103   2   1  97   0   0
6 57873   2   1  96   0   0
2 58860   2   1  97   0   0
1 59288   2   1  97   0   0
8 59170   2   1  97   0   0
4 59391   2   1  97   0   0
7 59731   2   1  97   0   0
8 59623   2   1  97   0   0
1 61405   2   2  97   0   0
4 60111   2   1  96   0   0
8 60502   3   1  96   0   0
3 60492   2   1  96   0   0
4 60775   2   1  96   0   0
9 60202   3   1  96   0   0
4 61476   2   1  97   0   0
1 60150   3   2  96   0   0
5 61857   3   1  95   0   0
0 61062   3   1  96   0   0
0 60564   3   2  95   0   0
4 61160   3   1  95   0   0
3 61177   2   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
4 59469   2   1  96   0   0
2 60471   3   1  95   0   0
8 60842   3   1  96   0   0
1 59833   3   1  96   0   0
1 59681   3   1  96   0   0
2 60265   2   1  97   0   0
4 58731   2   1  96   0   0
0 59627   2   1  97   0   0
7 58419   2   1  97   0   0
2 58917   2   1  97   0   0
2 58962   2   1  97   0   0
0 58172   2   1  97   0   0
5 58733   2   1  97   0   0
7 58723   2   1  96   0   0
5 57568   2   1  97   0   0
5 59083   2   1  96   0   0
8 58078   2   1  96   0   0
5 57762   2   1  97   0   0
0 58039   2   1  97   0   0
4 58899   2   1  97   0   0
1 57552   3   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
9 59067   2   1  97   0   0
0 58860   2   1  97   0   0
0 58094   2   1  97   0   0
2 57781   2   1  97   0   0
1 57432   2   1  97   0   0
9 58772   2   1  97   0   0
9 59921   2   1  97   0   0
8 57965   2   1  97   0   0
6 59477   2   1  96   0   0
0 59520   2   1  97   0   0
5 60350   2   1  97   0   0
0 59467   2   1  96   0   0
6 60403   2   1  96   0   0
1 59921   2   1  97   0   0
2 61277   2   1  97   0   0
5 60805   2   1  96   0   0
0 59693   2   1  97   0   0
6 61182   3   1  96   0   0
4 60858   2   1  96   0   0
7 60804   3   1  95   0   0
2 60909   3   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
1 59172   2   1  97   0   0
1 61227   2   2  96   0   0
0 60901   3   1  96   0   0
5 60249   3   1  95   0   0
1 60189   2   1  97   0   0
8 61248   2   1  96   0   0
8 60129   3   1  96   0   0
2 60142   2   1  97   0   0
0 60474   2   1  96   0   0
1 59977   2   1  97   0   0
7 59741   3   2  96   0   0
0 60270   2   1  97   0   0
9 58991   1   1  98   0   0
5 59236   2   1  97   0   0
6 58233   2   1  97   0   0
2 59555   2   1  97   0   0
1 58469   2   1  97   0   0
4 58728   2   1  97   0   0
5 57570   2   1  97   0   0
7 59283   2   1  97   0   0
0 57578   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
5 58722   2   1  97   0   0
9 57967   2   1  97   0   0
1 57307   2   1  97   0   0
1 59372   2   1  96   0   0
4 58675   3   1  96   0   0
7 57794   2   1  97   0   0
4 58429   2   1  96   0   0
1 57393   2   1  96   0   0
1 58410   2   1  97   0   0
2 58509   2   1  97   0   0
6 57257   2   1  97   0   0
9 59394   2   1  97   0   0
4 59217   2   1  97   0   0
9 59036   1   1  98   0   0
5 59523   2   1  97   0   0
0 60299   2   1  97   0   0
5 59690   2   1  97   0   0
2 60218   3   1  96   0   0
0 60513   3   1  96   0   0
4 60300   3   1  96   0   0
5 60644   2   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
3 60930   2   1  96   0   0
1 60452   2   2  96   0   0
5 60923   2   1  97   0   0
4 60742   2   2  96   0   0
2 60546   2   1  96   0   0
2 61093   2   1  96   0   0
3 60358   2   2  96   0   0
1 61690   2   1  97   0   0
6 60460   2   1  96   0   0
4 59161   3   1  96   0   0
8 59414   2   1  97   0   0
7 59685   2   1  97   0   0
9 57725   2   1  97   0   0
6 59281   2   1  97   0   0
0 59217   2   1  97   0   0
6 58381   2   1  97   0   0
8 58828   3   1  96   0   0
0 58174   2   2  96   0   0
4 57221   2   1  97   0   0
2 58670   2   1  97   0   0
1 57050   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 57672   2   1  97   0   0
5 57990   2   1  97   0   0
4 57286   2   1  97   0   0
5 57552   2   1  97   0   0
6 57931   2   1  97   0   0
8 57207   2   1  97   0   0
7 57995   2   1  97   0   0
1 57828   2   1  97   0   0
8 56214   2   1  96   0   0
4 58329   2   1  97   0   0
2 58433   2   1  97   0   0
5 56949   2   1  97   0   0
9 58086   3   1  96   0   0
0 57574   2   1  97   0   0
