stem-- --------cpu--------
n   cs  us  sy  id  wa  st
90 80967   8   3  89   0   0
31 75239  10   3  87   0   0
8 65502  10   2  88   0   0
7 63284  10   2  88   0   0
6 60625   8   2  90   0   0
9 58981   7   2  91   0   0
1 58884   7   2  91   0   0
0 58239   8   2  90   0   0
5 58588   8   2  90   0   0
1 57846   8   2  90   0   0
5 57659   9   2  89   0   0
9 55982   6   2  92   0   0
2 57113   8   2  91   0   0
2 56979   9   2  90   0   0
3 56865   8   2  91   0   0
3 57064   8   2  90   0   0
1 57262  10   1  89   0   0
3 56949   9   1  90   0   0
7 57556  10   2  88   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
8 57801   9   2  90   0   0
6 57036   9   2  90   0   0
5 57421   8   2  90   0   0
2 57401   8   2  91   0   0
0 57724   8   2  90   0   0
9 57576   7   2  91   0   0
7 57728   8   2  90   0   0
1 57688   9   2  89   0   0
3 57708   9   2  90   0   0
5 58222   9   2  89   0   0
7 56866   8   1  91   0   0
9 58371   9   2  89   0   0
0 57912   7   2  91   0   0
2 58112   9   2  89   0   0
4 57725   9   2  89   0   0
2 58209   9   2  90   0   0
6 58177   8   2  90   0   0
0 57717   8   2  90   0   0
2 59277   7   2  91   0   0
8 58667   8   2  90   0   0
2 57406   9   2  89   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
2 59312   9   2  89   0   0
6 57970   8   1  90   0   0
7 57453   8   2  90   0   0
3 58114   8   2  90   0   0
4 57943   9   2  90   0   0
2 58566   8   1  91   0   0
6 57822   9   2  89   0   0
2 58785   7   2  91   0   0
9 58024   9   2  90   0   0
5 57940   9   2  89   0   0
8 56892   9   2  89   0   0
1 57761  10   2  89   0   0
8 57957   8   2  90   0   0
0 58790   8   2  90   0   0
4 57672   7   2  92   0   0
3 58132  10   2  88   0   0
3 57896   9   2  89   0   0
5 59109   8   2  90   0   0
8 57958   8   1  91   0   0
6 58022   9   2  90   0   0
6 57311   9   2  90   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
1 58015   9   1  90   0   0
5 57991   9   2  89   0   0
4 57244  10   2  89   0   0
0 56653   8   1  91   0   0
2 57594   9   2  89   0   0
8 57451   8   2  91   0   0
8 57260   7   2  91   0   0
8 56813   8   1  91   0   0
3 56836  10   2  88   0   0
8 57757   9   2  90   0   0
1 57633   9   2  89   0   0
4 57919  10   2  88   0   0
0 57556   8   1  90   0   0
4 56935   8   1  90   0   0
4 57155   8   1  90   0   0
8 57209   8   1  90   0   0
2 57644  10   2  88   0   0
6 57435   9   1  90   0   0
7 57783   8   2  90   0   0
8 57149   9   2  90   0   0
7 57578  10   1  89   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
7 57431   8   2  91   0   0
9 57510   7   2  91   0   0
9 57845   9   2  90   0   0
4 57176   9   2  89   0   0
6 57432   8   1  91   0   0
0 57677   8   1  90   0   0
8 57508   9   2  89   0   0
9 57657   9   2  89   0   0
3 57214   8   1  90   0   0
9 57355   9   2  89   0   0
0 57739   8   2  91   0   0
1 57321   9   1  90   0   0
1 57926   7   1  91   0   0
0 57521   8   2  90   0   0
5 57858   9   2  89   0   0
2 58057  11   2  88   0   0
5 57566   8   1  91   0   0
6 57438   9   2  89   0   0
2 57094   8   1  91   0   0
7 58803   8   1  91   0   0
3 57335   8   1  91   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
8 57480   8   2  90   0   0
4 57227   8   2  90   0   0
5 57134   9   1  89   0   0
8 57680   8   1  91   0   0
1 58193   8   2  90   0   0
7 57879   8   1  90   0   0
0 57666   8   1  91   0   0
7 57989   8   2  90   0   0
3 57746   6   2  92   0   0
5 58130   8   1  90   0   0
2 67827   7   2  91   0   0
540 488311  10   4  85   0   0
78 71880   9   2  90   0   0
58 71290   8   2  91   0   0
35 71089   8   2  91   0   0
31 68627   9   2  89   0   0
7 57196   7   2  91   0   0
0 57321   9   1  90   0   0
0 57539   9   2  90   0   0
5 57874   9   2  90   0   0
5 57389   9   1  89   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
5 57072   8   2  90   0   0
6 57727   8   2  90   0   0
7 57023   8   1  91   0   0
7 57850   8   2  90   0   0
3 57292   8   2  90   0   0
4 58918   7   1  91   0   0
9 57431   9   2  89   0   0
3 57549   9   1  90   0   0
9 57235   8   2  90   0   0
5 57522  10   2  88   0   0
1 58175   7   1  92   0   0
1 57552   9   2  89   0   0
8 57361   9   1  89   0   0
1 58019   8   2  90   0   0
2 56892   8   1  90   0   0
5 57286   9   2  89   0   0
0 57889   8   2  90   0   0
7 57659   6   2  92   0   0
1 58129  10   2  89   0   0
3 57389   8   2  91   0   0
6 58114   8   1  91   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
2 58328   9   2  89   0   0
7 58426   9   2  90   0   0
9 61425   8   2  90   0   0
5 57575   9   1  89   0   0
0 58398   8   2  91   0   0
1 58068   9   2  89   0   0
2 57257   8   2  90   0   0
6 57497   8   1  91   0   0
7 57682   8   2  91   0   0
3 57508   9   2  90   0   0
1 57485   8   2  91   0   0
5 57253   8   2  90   0   0
8 57665   7   2  91   0   0
6 58319  10   2  88   0   0
1 57215   8   1  91   0   0
5 57917   9   2  89   0   0
8 58000   7   1  92   0   0
9 57637   8   2  90   0   0
4 57129  10   2  88   0   0
6 57875   8   2  90   0   0
8 58215   8   2  91   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
7 57361   8   2  90   0   0
2 58016   8   2  90   0   0
9 56887   8   2  90   0   0
8 56369   9   2  89   0   0
4 57160   8   2  90   0   0
2 57036   7   2  91   0   0
2 57933   9   1  89   0   0
6 57883   8   2  90   0   0
3 57585   8   2  91   0   0
8 58088   9   2  89   0   0
8 56613   7   2  91   0   0
8 59982   9   2  89   0   0
8 57897   9   2  89   0   0
