stem-- --------cpu--------
n   cs  us  sy  id  wa  st
3  324   0   1  99   0   0
55 81338   9   3  89   0   0
2 74638  10   2  88   0   0
1 66881  10   2  88   0   0
3 61678  11   2  88   0   0
6 61290  10   2  87   0   0
8 59924   8   2  90   0   0
3 59315  10   2  88   0   0
0 58804   7   2  91   0   0
4 57893   8   2  90   0   0
6 57318   9   2  89   0   0
3 58312   9   2  89   0   0
5 56626   7   2  91   0   0
3 56488   9   2  90   0   0
3 57419   9   2  90   0   0
6 57596   8   2  90   0   0
3 57594   8   2  91   0   0
5 57239   8   2  90   0   0
5 57783   9   2  89   0   0
1 57533   9   2  89   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 57408   8   2  90   0   0
0 57837  10   2  88   0   0
8 56544   7   2  91   0   0
2 58161  10   1  89   0   0
3 57895  10   2  89   0   0
9 58133  10   2  89   0   0
9 57652   9   2  89   0   0
2 57529   9   2  89   0   0
9 59666   9   2  89   0   0
0 58504   8   2  90   0   0
8 58344   9   2  90   0   0
5 59132  10   2  88   0   0
2 57869   7   1  92   0   0
8 58059   9   2  89   0   0
6 58835   9   2  89   0   0
1 60582  10   1  89   0   0
3 57869   9   2  89   0   0
2 59153   8   2  90   0   0
1 56078   9   2  89   0   0
5 59588   9   2  90   0   0
0 59018   8   2  90   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 57533  10   2  89   0   0
9 58937   9   2  90   0   0
9 59228   9   1  90   0   0
6 57311   9   2  89   0   0
4 59260  10   2  88   0   0
9 59067   9   2  89   0   0
6 57062   8   2  90   0   0
2 58583   9   2  89   0   0
6 58842  10   2  88   0   0
5 56982  10   2  89   0   0
9 58454   9   2  89   0   0
3 57840   9   2  89   0   0
4 57933   7   1  91   0   0
9 59647   8   2  89   0   0
0 58130   8   2  90   0   0
2 58972   8   2  90   0   0
2 58815   8   2  90   0   0
3 57619   8   2  90   0   0
7 59472   9   2  90   0   0
8 58786   8   2  90   0   0
9 58384  10   2  88   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
8 59119  11   2  88   0   0
6 59091   8   2  91   0   0
0 57447   9   2  89   0   0
2 58954   8   2  90   0   0
3 58987   8   2  90   0   0
7 57734  10   2  88   0   0
6 59125   8   2  90   0   0
5 57358   9   2  89   0   0
7 59195   8   2  90   0   0
0 59067   8   2  90   0   0
5 57767   9   2  90   0   0
4 59300  10   2  89   0   0
3 58863  10   2  88   0   0
0 58037   8   2  90   0   0
4 58942   7   2  91   0   0
6 58841   9   2  89   0   0
4 57713   9   2  89   0   0
5 59029   9   2  89   0   0
1 59228   8   2  90   0   0
7 57574   9   2  90   0   0
1 59154   8   2  90   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 58572   9   2  89   0   0
1 57517  10   1  89   0   0
0 59164   9   2  89   0   0
8 57042   9   2  90   0   0
1 59059   9   2  89   0   0
3 58491  10   2  89   0   0
7 57630   9   2  89   0   0
3 59072   9   2  89   0   0
2 59546   8   1  90   0   0
7 56605   8   2  91   0   0
7 59219   9   1  90   0   0
1 58948   9   2  89   0   0
5 59240   7   2  92   0   0
2 58958  10   2  88   0   0
2 58406   9   2  90   0   0
0 57766  10   2  88   0   0
9 59452  12   2  87   0   0
2 57943   8   2  90   0   0
3 58616   7   2  91   0   0
5 58978   9   2  89   0   0
7 57980   7   1  91   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
2 59419   9   2  89   0   0
1 59590  10   2  88   0   0
3 57839  10   2  88   0   0
1 59136   8   2  90   0   0
9 60061   8   2  90   0   0
6 57952   9   2  89   0   0
4 59291   8   2  91   0   0
9 59264   9   2  89   0   0
4 57893  11   2  88   0   0
5 59770   8   2  90   0   0
1 58202  10   1  89   0   0
0 58899  10   2  89   0   0
3 59402   9   2  89   0   0
6 56626   8   2  90   0   0
0 59203   8   2  90   0   0
2 59211   8   2  91   0   0
0 57693   9   2  90   0   0
1 58872  10   2  88   0   0
4 59065   9   1  90   0   0
4 57361  11   2  88   0   0
3 58976   7   2  91   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
0 59081   9   1  89   0   0
5 57989   9   2  89   0   0
1 59457   9   2  90   0   0
2 59282  10   2  88   0   0
1 57395   9   2  89   0   0
5 58738   7   2  91   0   0
4 58311   9   2  90   0   0
2 59156   9   2  89   0   0
7 58390   9   2  90   0   0
4 57480   8   2  91   0   0
6 59011   9   2  90   0   0
2 58878   8   2  90   0   0
6 57285   8   2  90   0   0
1 59250   9   2  89   0   0
0 59813   8   1  91   0   0
6 56518   8   2  91   0   0
1 59206   8   2  90   0   0
1 58810  10   1  89   0   0
0 57903   8   2  90   0   0
3 58864   9   2  90   0   0
5 59745   8   2  90   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
4 58231   9   2  90   0   0
2 58787   8   2  91   0   0
9 57186   8   1  90   0   0
5 58887   8   2  90   0   0
6 59530   8   2  90   0   0
3 58073   9   2  89   0   0
7 59357   9   2  89   0   0
2 58677   8   2  90   0   0
8 57208   9   1  89   0   0
8 60303  10   2  88   0   0
3 59167   8   2  90   0   0
5 57109   9   2  89   0   0
3 59372  10   2  89   0   0
3 59644  10   2  88   0   0
9 57647   9   2  90   0   0
1 58882  11   2  88   0   0
6 58033   9   2  89   0   0
2 58432  10   2  88   0   0
6 59286  10   2  88   0   0
7 57771   9   1  90   0   0
9 58980  10   2  88   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
7 58294   6   2  92   0   0
3 56938   9   2  89   0   0
1 57781   7   2  92   0   0
0 57695   9   2  89   0   0
2 59147  10   2  88   0   0
2 58042   8   1  90   0   0
5 58289   9   2  90   0   0
7 57812   9   2  90   0   0
4 60209   9   2  88   0   0
2 58086   8   2  90   0   0
4 58669  11   2  88   0   0
3 60028  10   2  88   0   0
8 59013   9   2  89   0   0
7 59490   8   2  90   0   0
1 59795   8   2  90   0   0
7 57259  10   2  88   0   0
2 59862   8   2  90   0   0
7 58842   9   2  90   0   0
0 57364   8   1  90   0   0
1 58650   8   1  91   0   0
5 59418   9   2  89   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
9 56339   8   2  90   0   0
8 59532   8   2  91   0   0
1 59575   9   2  89   0   0
5 57955   6   1  92   0   0
4 58806   8   2  91   0   0
8 58720   6   2  92   0   0
5 57903   7   2  92   0   0
3 59362   6   1  92   0   0
3 57751   6   2  92   0   0
9 60225   4   2  94   0   0
8 58693   5   1  93   0   0
1 57172   4   2  94   0   0
7 58789   4   1  95   0   0
4 58931   3   1  95   0   0
8 57766   3   1  96   0   0
0 58766   3   1  96   0   0
0 57925   3   1  96   0   0
5 58415   3   1  95   0   0
9 58215   2   1  96   0   0
2 59457   2   1  97   0   0
7 57678   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
9 58319   2   1  97   0   0
6 58564   2   1  97   0   0
2 59076   2   1  97   0   0
6 59060   2   1  96   0   0
6 58308   2   1  96   0   0
7 60277   3   1  96   0   0
4 61533   2   1  97   0   0
7 60053   2   1  97   0   0
2 60890   2   1  97   0   0
5 61671   3   1  96   0   0
2 60577   3   1  96   0   0
8 61047   3   1  96   0   0
9 61199   2   1  96   0   0
4 60605   3   1  96   0   0
0 62546   3   2  95   0   0
5 60885   2   1  96   0   0
5 60354   3   1  96   0   0
7 61658   2   2  96   0   0
8 60870   3   1  96   0   0
7 61926   2   2  96   0   0
2 61484   2   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 60285   3   1  96   0   0
0 61330   3   2  96   0   0
9 61226   3   1  96   0   0
0 59757   2   1  97   0   0
4 60994   2   2  96   0   0
6 60573   2   1  97   0   0
7 59625   2   1  97   0   0
4 59720   2   1  97   0   0
8 59780   1   1  97   0   0
6 59082   2   1  97   0   0
4 58877   2   1  97   0   0
0 58615   2   1  96   0   0
7 58185   2   1  97   0   0
8 58457   2   1  97   0   0
7 58061   2   1  97   0   0
9 59470   2   1  97   0   0
3 58045   2   1  97   0   0
0 58174   3   1  96   0   0
2 58629   2   1  97   0   0
7 58367   2   1  97   0   0
4 57572   3   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 59406   2   1  97   0   0
2 58299   2   1  97   0   0
9 58034   3   1  96   0   0
8 58665   3   1  96   0   0
6 58904   2   1  97   0   0
3 58257   2   1  97   0   0
3 58765   2   1  96   0   0
1 58782   2   1  97   0   0
1 59738   2   1  98   0   0
7 59749   2   1  96   0   0
4 59742   2   1  97   0   0
4 60386   2   1  96   0   0
4 60918   2   1  96   0   0
7 59912   3   1  96   0   0
6 61865   3   1  96   0   0
4 61071   3   1  96   0   0
6 60724   2   1  97   0   0
5 61738   2   1  97   0   0
2 61265   3   1  96   0   0
6 61014   2   1  96   0   0
2 62000   3   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
0 61152   2   2  97   0   0
0 60718   2   1  96   0   0
8 61031   2   1  97   0   0
9 61889   3   1  96   0   0
5 61666   2   1  97   0   0
8 60481   3   1  96   0   0
7 60622   2   1  97   0   0
2 61512   2   2  96   0   0
6 60939   2   1  96   0   0
9 60166   3   1  96   0   0
8 59850   2   1  96   0   0
2 61101   2   1  97   0   0
6 59072   3   1  96   0   0
5 59530   2   1  97   0   0
3 59235   2   1  97   0   0
5 59036   2   1  97   0   0
4 58252   2   1  97   0   0
8 58211   2   1  97   0   0
5 58555   2   1  97   0   0
2 58992   2   1  97   0   0
4 57912   2   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
2 58705   2   1  97   0   0
9 58629   3   1  96   0   0
4 58288   2   1  97   0   0
5 58512   2   1  97   0   0
7 58641   2   1  96   0   0
4 57311   2   1  96   0   0
8 59737   2   1  97   0   0
2 58412   2   1  97   0   0
1 57841   2   1  97   0   0
9 58554   2   1  97   0   0
5 59513   2   1  97   0   0
0 57644   2   1  97   0   0
8 59818   2   1  96   0   0
0 59276   2   1  97   0   0
9 59806   2   1  97   0   0
6 60853   3   1  96   0   0
8 60626   2   1  96   0   0
2 60587   2   1  97   0   0
2 60677   2   1  97   0   0
4 60157   2   1  97   0   0
1 60899   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 61299   2   1  96   0   0
1 60832   3   1  96   0   0
7 61481   3   1  96   0   0
5 60965   2   2  96   0   0
0 60573   2   1  97   0   0
9 61937   3   1  96   0   0
4 60311   2   2  96   0   0
0 59557   3   1  96   0   0
6 60285   4   1  95   0   0
5 59905   2   1  96   0   0
9 59520   2   1  97   0   0
8 60604   2   1  97   0   0
4 58521   2   1  96   0   0
0 60839   2   2  96   0   0
1 58598   2   1  97   0   0
9 58236   2   1  97   0   0
9 58677   3   1  96   0   0
7 58812   2   1  97   0   0
7 57521   1   1  97   0   0
2 58396   2   1  97   0   0
6 58528   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
4 57970   2   1  97   0   0
2 57805   2   1  97   0   0
5 57741   2   1  97   0   0
8 58150   2   1  97   0   0
5 58089   2   1  97   0   0
9 57848   2   1  97   0   0
4 58198   2   2  96   0   0
8 58396   2   1  96   0   0
8 57319   2   1  97   0   0
9 58891   2   1  97   0   0
1 57958   2   1  96   0   0
3 57323   2   1  97   0   0
3 58664   2   1  97   0   0
2 58203   2   1  97   0   0
5 57456   2   1  97   0   0
1 58693   2   2  97   0   0
4 58795   2   1  97   0   0
0 58403   2   1  97   0   0
0 59133   2   1  97   0   0
0 58230   2   1  97   0   0
1 59479   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
2 59254   2   1  97   0   0
4 58781   2   1  97   0   0
0 59306   2   1  97   0   0
5 60466   3   1  96   0   0
0 59274   2   1  96   0   0
4 60517   3   1  96   0   0
8 59488   2   1  96   0   0
3 59632   2   1  96   0   0
0 59490   1   1  98   0   0
9 59995   3   1  96   0   0
2 59375   3   1  96   0   0
1 60864   3   2  96   0   0
4 59260   4   1  95   0   0
5 59387   2   1  97   0   0
5 60431   3   2  95   0   0
4 60009   2   1  96   0   0
9 58923   2   1  97   0   0
4 59693   2   1  96   0   0
6 59287   2   1  96   0   0
9 59817   2   1  96   0   0
9 59983   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
1 59531   2   1  97   0   0
8 59918   2   1  97   0   0
3 60891   2   1  97   0   0
2 59990   2   1  97   0   0
4 59174   2   1  97   0   0
5 59118   2   1  97   0   0
7 57732   2   1  97   0   0
4 59405   2   1  97   0   0
6 59283   2   1  97   0   0
2 57949   2   1  97   0   0
2 59118   2   1  96   0   0
1 58452   2   1  97   0   0
2 58075   2   1  97   0   0
0 58406   2   1  97   0   0
8 59129   2   1  97   0   0
6 57532   2   1  97   0   0
2 58307   2   1  96   0   0
9 58600   2   1  97   0   0
2 58666   2   1  97   0   0
1 57814   2   1  97   0   0
1 58324   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
2 58974   2   1  97   0   0
0 58332   2   1  97   0   0
9 58578   2   1  97   0   0
8 59346   2   1  97   0   0
5 59385   2   1  97   0   0
9 60181   2   1  96   0   0
3 59466   2   1  97   0   0
4 60034   2   1  96   0   0
1 60654   2   1  97   0   0
5 60861   3   1  96   0   0
0 60542   3   1  96   0   0
4 60670   2   1  97   0   0
2 60565   2   1  96   0   0
4 60765   2   1  96   0   0
7 60557   2   1  96   0   0
4 60694   3   1  96   0   0
8 60595   3   2  96   0   0
4 60833   3   2  96   0   0
1 60399   3   2  96   0   0
4 60525   3   1  96   0   0
4 60678   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 60664   2   1  96   0   0
1 59868   3   1  96   0   0
4 59930   2   1  96   0   0
0 61363   2   1  97   0   0
0 60100   2   2  96   0   0
2 59601   2   1  97   0   0
5 59171   2   1  97   0   0
7 59657   2   1  97   0   0
6 57844   2   1  97   0   0
7 57489   2   1  97   0   0
2 57779   2   1  97   0   0
4 57910   2   1  97   0   0
7 58135   2   1  97   0   0
6 58173   2   1  97   0   0
4 57335   2   1  97   0   0
5 58899   2   1  97   0   0
5 58336   2   1  97   0   0
5 57826   2   1  97   0   0
2 57907   2   1  97   0   0
8 58008   2   1  96   0   0
1 58180   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
2 57341   2   1  97   0   0
9 57683   2   1  97   0   0
8 58970   2   1  97   0   0
2 58373   2   1  97   0   0
5 58178   2   1  97   0   0
7 58733   2   1  97   0   0
4 58642   2   1  96   0   0
9 59428   2   1  97   0   0
6 58118   2   1  97   0   0
